page_name,pid,description,keywords,thumbnail,full
sc-page061,p0075,page 61,,/img/derivatives/simple/p0075/thumbnail.jpg,/img/derivatives/simple/p0075/full.jpg
sc-page062,p0076,page 62,,/img/derivatives/simple/p0076/thumbnail.jpg,/img/derivatives/simple/p0076/full.jpg
sc-page063,p0077,page 63,,/img/derivatives/simple/p0077/thumbnail.jpg,/img/derivatives/simple/p0077/full.jpg
sc-page064,p0078,page 64,,/img/derivatives/simple/p0078/thumbnail.jpg,/img/derivatives/simple/p0078/full.jpg
sc-page065,p0079,page 65,,/img/derivatives/simple/p0079/thumbnail.jpg,/img/derivatives/simple/p0079/full.jpg
sc-page066,p0080,page 66,,/img/derivatives/simple/p0080/thumbnail.jpg,/img/derivatives/simple/p0080/full.jpg
sc-page067,p0081,page 67,,/img/derivatives/simple/p0081/thumbnail.jpg,/img/derivatives/simple/p0081/full.jpg
sc-page068,p0082,page 68,,/img/derivatives/simple/p0082/thumbnail.jpg,/img/derivatives/simple/p0082/full.jpg
sc-page069,p0083,page 69,,/img/derivatives/simple/p0083/thumbnail.jpg,/img/derivatives/simple/p0083/full.jpg
sc-page070,p0084,page 70,,/img/derivatives/simple/p0084/thumbnail.jpg,/img/derivatives/simple/p0084/full.jpg
sc-page071,p0085,page 71,,/img/derivatives/simple/p0085/thumbnail.jpg,/img/derivatives/simple/p0085/full.jpg
sc-page072,p0086,page 72,,/img/derivatives/simple/p0086/thumbnail.jpg,/img/derivatives/simple/p0086/full.jpg
sc-page073,p0087,page 73,,/img/derivatives/simple/p0087/thumbnail.jpg,/img/derivatives/simple/p0087/full.jpg
sc-page074,p0088,page 74,,/img/derivatives/simple/p0088/thumbnail.jpg,/img/derivatives/simple/p0088/full.jpg
sc-page075,p0089,page 75,,/img/derivatives/simple/p0089/thumbnail.jpg,/img/derivatives/simple/p0089/full.jpg
sc-page076,p0090,page 76,,/img/derivatives/simple/p0090/thumbnail.jpg,/img/derivatives/simple/p0090/full.jpg
sc-page077,p0091,page 77,,/img/derivatives/simple/p0091/thumbnail.jpg,/img/derivatives/simple/p0091/full.jpg
sc-page078,p0092,page 78,,/img/derivatives/simple/p0092/thumbnail.jpg,/img/derivatives/simple/p0092/full.jpg
sc-page079,p0093,page 79,,/img/derivatives/simple/p0093/thumbnail.jpg,/img/derivatives/simple/p0093/full.jpg
sc-page080,p0094,page 80,,/img/derivatives/simple/p0094/thumbnail.jpg,/img/derivatives/simple/p0094/full.jpg
sc-page081,p0095,page 81,,/img/derivatives/simple/p0095/thumbnail.jpg,/img/derivatives/simple/p0095/full.jpg
sc-page082,p0096,page 82,,/img/derivatives/simple/p0096/thumbnail.jpg,/img/derivatives/simple/p0096/full.jpg
sc-page083,p0097,page 83,,/img/derivatives/simple/p0097/thumbnail.jpg,/img/derivatives/simple/p0097/full.jpg
sc-page084,p0098,end of book ii,,/img/derivatives/simple/p0098/thumbnail.jpg,/img/derivatives/simple/p0098/full.jpg
sc-page085,p0099,book iii title page,,/img/derivatives/simple/p0099/thumbnail.jpg,/img/derivatives/simple/p0099/full.jpg
sc-page086,p0100,argument to book iii,,/img/derivatives/simple/p0100/thumbnail.jpg,/img/derivatives/simple/p0100/full.jpg
sc-page087,p0101,page 87,,/img/derivatives/simple/p0101/thumbnail.jpg,/img/derivatives/simple/p0101/full.jpg
sc-page088,p0102,page 88,,/img/derivatives/simple/p0102/thumbnail.jpg,/img/derivatives/simple/p0102/full.jpg
sc-page089,p0103,page 89,,/img/derivatives/simple/p0103/thumbnail.jpg,/img/derivatives/simple/p0103/full.jpg
sc-page090,p0104,page 90,,/img/derivatives/simple/p0104/thumbnail.jpg,/img/derivatives/simple/p0104/full.jpg
sc-page091,p0105,page 91,,/img/derivatives/simple/p0105/thumbnail.jpg,/img/derivatives/simple/p0105/full.jpg
sc-page092,p0106,page 92,,/img/derivatives/simple/p0106/thumbnail.jpg,/img/derivatives/simple/p0106/full.jpg
sc-page093,p0107,page 93,,/img/derivatives/simple/p0107/thumbnail.jpg,/img/derivatives/simple/p0107/full.jpg
sc-page094,p0108,page 94,,/img/derivatives/simple/p0108/thumbnail.jpg,/img/derivatives/simple/p0108/full.jpg
sc-page095,p0109,page 95,,/img/derivatives/simple/p0109/thumbnail.jpg,/img/derivatives/simple/p0109/full.jpg
sc-page096,p0110,page 96,,/img/derivatives/simple/p0110/thumbnail.jpg,/img/derivatives/simple/p0110/full.jpg
sc-page097,p0111,page 97,,/img/derivatives/simple/p0111/thumbnail.jpg,/img/derivatives/simple/p0111/full.jpg
sc-page098,p0112,page 98,,/img/derivatives/simple/p0112/thumbnail.jpg,/img/derivatives/simple/p0112/full.jpg
sc-page099,p0113,page 99,,/img/derivatives/simple/p0113/thumbnail.jpg,/img/derivatives/simple/p0113/full.jpg
sc-page100,p0114,page 100,,/img/derivatives/simple/p0114/thumbnail.jpg,/img/derivatives/simple/p0114/full.jpg
sc-page101,p0115,page 101,,/img/derivatives/simple/p0115/thumbnail.jpg,/img/derivatives/simple/p0115/full.jpg
sc-page102,p0116,page 102,,/img/derivatives/simple/p0116/thumbnail.jpg,/img/derivatives/simple/p0116/full.jpg
sc-page103,p0117,page 103,,/img/derivatives/simple/p0117/thumbnail.jpg,/img/derivatives/simple/p0117/full.jpg
sc-page104,p0118,page 104,,/img/derivatives/simple/p0118/thumbnail.jpg,/img/derivatives/simple/p0118/full.jpg
sc-page105,p0119,page 105,,/img/derivatives/simple/p0119/thumbnail.jpg,/img/derivatives/simple/p0119/full.jpg
sc-page106,p0120,page 106,,/img/derivatives/simple/p0120/thumbnail.jpg,/img/derivatives/simple/p0120/full.jpg
sc-page107,p0121,page 107,,/img/derivatives/simple/p0121/thumbnail.jpg,/img/derivatives/simple/p0121/full.jpg
sc-page108,p0122,page 108,,/img/derivatives/simple/p0122/thumbnail.jpg,/img/derivatives/simple/p0122/full.jpg
sc-page109,p0123,page 109,,/img/derivatives/simple/p0123/thumbnail.jpg,/img/derivatives/simple/p0123/full.jpg
sc-page110,p0124,page 110,,/img/derivatives/simple/p0124/thumbnail.jpg,/img/derivatives/simple/p0124/full.jpg
sc-page111,p0125,page 111,,/img/derivatives/simple/p0125/thumbnail.jpg,/img/derivatives/simple/p0125/full.jpg
sc-page112,p0126,page 112,,/img/derivatives/simple/p0126/thumbnail.jpg,/img/derivatives/simple/p0126/full.jpg
sc-page113,p0127,page 113,,/img/derivatives/simple/p0127/thumbnail.jpg,/img/derivatives/simple/p0127/full.jpg
sc-page114,p0128,page 114,,/img/derivatives/simple/p0128/thumbnail.jpg,/img/derivatives/simple/p0128/full.jpg
sc-page115,p0129,page 115,,/img/derivatives/simple/p0129/thumbnail.jpg,/img/derivatives/simple/p0129/full.jpg
sc-page116,p0130,page 116,,/img/derivatives/simple/p0130/thumbnail.jpg,/img/derivatives/simple/p0130/full.jpg
sc-page117,p0131,page 117,,/img/derivatives/simple/p0131/thumbnail.jpg,/img/derivatives/simple/p0131/full.jpg
sc-page118,p0132,page 118,,/img/derivatives/simple/p0132/thumbnail.jpg,/img/derivatives/simple/p0132/full.jpg
sc-page119,p0133,page 119,,/img/derivatives/simple/p0133/thumbnail.jpg,/img/derivatives/simple/p0133/full.jpg
sc-page120,p0134,page 120,,/img/derivatives/simple/p0134/thumbnail.jpg,/img/derivatives/simple/p0134/full.jpg
sc-page121,p0135,page 121,,/img/derivatives/simple/p0135/thumbnail.jpg,/img/derivatives/simple/p0135/full.jpg
sc-page122,p0136,end of book iii,,/img/derivatives/simple/p0136/thumbnail.jpg,/img/derivatives/simple/p0136/full.jpg
sc-page123,p0137,book iv title page,,/img/derivatives/simple/p0137/thumbnail.jpg,/img/derivatives/simple/p0137/full.jpg
sc-page124,p0138,argument to book iv,,/img/derivatives/simple/p0138/thumbnail.jpg,/img/derivatives/simple/p0138/full.jpg
sc-page125,p0139,page 125,,/img/derivatives/simple/p0139/thumbnail.jpg,/img/derivatives/simple/p0139/full.jpg
sc-page126,p0140,page 126,,/img/derivatives/simple/p0140/thumbnail.jpg,/img/derivatives/simple/p0140/full.jpg
sc-page127,p0141,page 127,,/img/derivatives/simple/p0141/thumbnail.jpg,/img/derivatives/simple/p0141/full.jpg
sc-page128,p0142,page 128,,/img/derivatives/simple/p0142/thumbnail.jpg,/img/derivatives/simple/p0142/full.jpg
sc-page129,p0143,page 129,,/img/derivatives/simple/p0143/thumbnail.jpg,/img/derivatives/simple/p0143/full.jpg
sc-page130,p0144,page 130,,/img/derivatives/simple/p0144/thumbnail.jpg,/img/derivatives/simple/p0144/full.jpg
sc-page131,p0145,page 131,,/img/derivatives/simple/p0145/thumbnail.jpg,/img/derivatives/simple/p0145/full.jpg
sc-page132,p0146,page 132,,/img/derivatives/simple/p0146/thumbnail.jpg,/img/derivatives/simple/p0146/full.jpg
sc-page133,p0147,page 133,,/img/derivatives/simple/p0147/thumbnail.jpg,/img/derivatives/simple/p0147/full.jpg
sc-page134,p0148,page 134,,/img/derivatives/simple/p0148/thumbnail.jpg,/img/derivatives/simple/p0148/full.jpg
sc-page135,p0149,page 135,,/img/derivatives/simple/p0149/thumbnail.jpg,/img/derivatives/simple/p0149/full.jpg
sc-page136,p0150,page 136,,/img/derivatives/simple/p0150/thumbnail.jpg,/img/derivatives/simple/p0150/full.jpg
sc-page137,p0151,page 137,,/img/derivatives/simple/p0151/thumbnail.jpg,/img/derivatives/simple/p0151/full.jpg
